gpu num is: 6
model original data nums:10571
add 86 points, now there are 139115 points
add 81 points, now there are 139282 points
add 88 points, now there are 139451 points
add 92 points, now there are 139631 points
add 89 points, now there are 139812 points
add 88 points, now there are 139989 points
add 93 points, now there are 140170 points
add 93 points, now there are 140356 points
add 93 points, now there are 140542 points
add 90 points, now there are 140725 points
train 6700 steps, train loss: 18.71041488647461
add 94 points, now there are 140909 points
add 84 points, now there are 141087 points
add 78 points, now there are 141249 points
add 85 points, now there are 141412 points
add 93 points, now there are 141590 points
add 92 points, now there are 141775 points
add 96 points, now there are 141963 points
add 94 points, now there are 142153 points
add 91 points, now there are 142338 points
add 96 points, now there are 142525 points
add 94 points, now there are 142715 points
train 6800 steps, train loss: 18.548309326171875
add 90 points, now there are 142899 points
add 85 points, now there are 143074 points
add 74 points, now there are 143233 points
add 83 points, now there are 143390 points
add 92 points, now there are 143565 points
add 90 points, now there are 143747 points
add 96 points, now there are 143933 points
add 92 points, now there are 144121 points
add 91 points, now there are 144304 points
add 93 points, now there are 144488 points
add 96 points, now there are 144677 points
train 6900 steps, train loss: 18.38711929321289
add 86 points, now there are 144859 points
add 81 points, now there are 145026 points
add 71 points, now there are 145178 points
add 95 points, now there are 145344 points
add 93 points, now there are 145532 points
add 94 points, now there are 145719 points
add 94 points, now there are 145907 points
add 90 points, now there are 146091 points
add 89 points, now there are 146270 points
add 91 points, now there are 146450 points
add 90 points, now there are 146631 points
train 7000 steps, train loss: 18.2288818359375
add 90 points, now there are 146811 points
add 83 points, now there are 146984 points
add 78 points, now there are 147145 points
add 81 points, now there are 147304 points
add 84 points, now there are 147469 points
add 92 points, now there are 147645 points
add 96 points, now there are 147833 points
add 89 points, now there are 148018 points
add 91 points, now there are 148198 points
add 88 points, now there are 148377 points
add 89 points, now there are 148554 points
train 7100 steps, train loss: 18.071788787841797
add 86 points, now there are 148729 points
add 77 points, now there are 148892 points
add 74 points, now there are 149043 points
add 92 points, now there are 149209 points
add 92 points, now there are 149393 points
add 91 points, now there are 149576 points
add 95 points, now there are 149762 points
add 89 points, now there are 149946 points
add 87 points, now there are 150122 points
add 95 points, now there are 150304 points
add 90 points, now there are 150489 points
train 7200 steps, train loss: 17.91837501525879
add 79 points, now there are 150658 points
add 79 points, now there are 150816 points
add 82 points, now there are 150977 points
add 91 points, now there are 151150 points
add 93 points, now there are 151334 points
add 92 points, now there are 151519 points
add 95 points, now there are 151706 points
add 90 points, now there are 151891 points
add 91 points, now there are 152072 points
add 93 points, now there are 152256 points
add 85 points, now there are 152434 points
train 7300 steps, train loss: 17.767963409423828
add 83 points, now there are 152602 points
add 90 points, now there are 152775 points
add 78 points, now there are 152943 points
add 94 points, now there are 153115 points
add 88 points, now there are 153297 points
add 93 points, now there are 153478 points
add 96 points, now there are 153667 points
add 95 points, now there are 153858 points
add 86 points, now there are 154039 points
add 90 points, now there are 154215 points
add 92 points, now there are 154397 points
train 7400 steps, train loss: 17.620254516601562
add 82 points, now there are 154571 points
add 90 points, now there are 154743 points
add 73 points, now there are 154906 points
add 94 points, now there are 155073 points
add 87 points, now there are 155254 points
add 84 points, now there are 155425 points
add 96 points, now there are 155605 points
add 91 points, now there are 155792 points
add 83 points, now there are 155966 points
add 90 points, now there are 156139 points
add 90 points, now there are 156319 points
train 7500 steps, train loss: 17.473896026611328
add 89 points, now there are 156498 points
add 88 points, now there are 156675 points
add 76 points, now there are 156839 points
add 92 points, now there are 157007 points
add 86 points, now there are 157185 points
add 91 points, now there are 157362 points
add 94 points, now there are 157547 points
